pathway	GSE12251_NES	GSE12251_pval	GSE12251_padj	GSE12251_direction	GSE16879_NES	GSE16879_pval	GSE16879_padj	GSE16879_direction	GSE23597_NES	GSE23597_pval	GSE23597_padj	GSE23597_direction	nominal_p_lt_0_05_cohorts	max_same_direction_cohorts
HALLMARK_INFLAMMATORY_RESPONSE	-3.71481840687519	1.9496742955078e-43	4.87418573876951e-42	up_in_nonresponders	-3.52146283898519	1.71466933107519e-32	2.85778221845864e-31	up_in_nonresponders	-1.63033339882137	0.000442273810250426	0.00357340330274326	up_in_nonresponders	3	3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-3.86423854737414	4.05562946022643e-49	2.02781473011322e-47	up_in_nonresponders	-3.7611463040304	9.18441996707581e-40	4.5922099835379e-38	up_in_nonresponders	-1.21160178969081	0.101394169835234	0.220422108337466	up_in_nonresponders	2	3
HALLMARK_IL6_JAK_STAT3_SIGNALING	-2.9926307017773	2.37219903237939e-15	1.07827228744518e-14	up_in_nonresponders	-3.03313069144147	5.53910785910463e-15	3.95650561364616e-14	up_in_nonresponders	-1.12636799292351	0.242424242424242	0.391006842619746	up_in_nonresponders	2	3
HALLMARK_INTERFERON_GAMMA_RESPONSE	-3.47820963338235	1.11731780633948e-35	1.39664725792435e-34	up_in_nonresponders	-3.41602669942301	1.23317403360004e-29	1.54146754200005e-28	up_in_nonresponders	-1.19465376058559	0.115335868187579	0.240283058724123	up_in_nonresponders	2	3
HALLMARK_INTERFERON_ALPHA_RESPONSE	-2.90900727450391	4.327449803729e-15	1.80310408488708e-14	up_in_nonresponders	-2.63239734595758	7.64959262634324e-11	3.82479631317162e-10	up_in_nonresponders	-1.08194571918288	0.314917127071823	0.458553791887125	up_in_nonresponders	2	3
HALLMARK_HYPOXIA	-2.00850009734952	5.99516427093465e-07	1.49879106773366e-06	up_in_nonresponders	-1.95451851830983	2.32755420963865e-06	7.75851403212883e-06	up_in_nonresponders	-1.02904882846001	0.397972116603295	0.511616708799807	up_in_nonresponders	2	3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.92376090048091	4.09376044053e-21	2.55860027533125e-20	up_in_nonresponders	-3.67613427331395	4.13799169740071e-37	1.03449792435018e-35	up_in_nonresponders	-1.8836346666866	3.38178608555846e-06	5.63631014259744e-05	up_in_nonresponders	3	3
HALLMARK_COMPLEMENT	-2.67492369262018	4.50313266770169e-16	2.25156633385084e-15	up_in_nonresponders	-2.52509141876662	4.38482608558212e-13	2.74051630348883e-12	up_in_nonresponders	1.12420502497476	0.169014084507042	0.291403593977659	up_in_responders	2	2
HALLMARK_ALLOGRAFT_REJECTION	-2.72843180590912	3.52740081811875e-17	1.95966712117708e-16	up_in_nonresponders	-3.34542455687922	1.00744331576474e-27	1.00744331576474e-26	up_in_nonresponders	-1.17754833338819	0.133079847908745	0.25089605734767	up_in_nonresponders	2	3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	3.28384724830618	9.23652219884535e-32	7.69710183237113e-31	up_in_responders	1.58238127070292	0.00113140500571893	0.00245957609938897	up_in_responders	1.54238486905713	0.00146619639888363	0.00713218561087648	up_in_responders	3	3
