gene	BEST4+ absorptive	Goblet (secretory)	Stem/TA	Cycling	Regenerative (Notch)	Stress/inflammatory epithelial
BCL6	0.021002512326531896	0.05263864390532275	0.05293369883029828	0.08980611854581491	0.041694301631220496	0.061340983831722484
CD86	0.0005935889963500191	0.009566872666129808	0.03334005238451618	0.012790527745841376	0.004906167785862194	0.038805685082989975
CD93	0.0	0.0	0.0	0.0023556064342489403	0.0013979289449840184	0.005530998450265897
CEBPB	0.3003055350140772	0.515158411452792	0.211783667463203	0.36663873433014804	0.455952805149802	0.4356163320640688
CFLAR	0.7527661610625205	0.5067447992919354	0.5397246813758997	0.5889466231288889	0.46773898869227476	0.9753583404452412
CHI3L1	0.0	0.0	0.0	0.0	0.0	0.0
CHST15	0.00051869154574788	0.005217360241662342	0.03687726870346066	0.01628818494770654	0.002439985604278336	0.0
CLEC4E	0.0	0.0	0.0	0.0023556064342489403	0.0007119502572886851	0.019984678287767368
COL8A1	0.0	0.0	0.0	0.0	0.00018676391127600932	0.0023445271918180435
CSF2RB	0.0	0.0035855906390308335	0.0	0.005983338349098325	0.004369584731389757	0.019568313812364607
CSF3	0.0014459744419919633	0.005417180314124214	0.0	0.001135085379142745	0.0035993997827932526	0.0028949658510290612
DENND5A	0.003191954378861326	0.01056218064436013	0.037459027982794824	0.022645787060038305	0.00694901418682498	0.026009898934768867
FCGR2A	0.0	0.0009196136592926004	0.0	0.0	0.0037880981786106143	0.02828868541694201
FST	0.0	0.002047445121435426	0.0	0.0	0.0	0.0
FZD10	0.0	0.0	0.0	0.0	0.0	0.0
G0S2	0.047336152648850514	0.09242344193994839	0.033651253956574055	0.06592664966601207	0.09378401725374858	0.07355315727513326
GLIPR1	0.03631193068241554	0.1581593164411793	0.4396336925180676	0.6899060817483775	0.05077659024609037	0.11868237252355247
GLT1D1	0.0	0.0	0.0	0.0	0.0	0.005082390713467557
HGF	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DQA1	0.012797717558555211	0.12748402422668192	0.6689744308581738	0.36483328528209474	0.042545669190895384	0.274968357481191
HSD11B1	0.0	0.0	0.0	0.0	0.0002404079918395608	0.00623855392240536
IER5	0.374596089494078	0.5873533656801746	0.3463201217287558	0.38186011222100513	0.48764178558736876	0.44633154014603554
IFIT3	0.03378057408899473	0.026671716846537144	0.01566954620532377	0.026928330380035437	0.01833400432378794	0.19691441629685524
IGFBP5	0.0	0.0	0.0	0.0	0.0006587259821075542	0.0
IL11	0.0015893730590491363	0.0	0.0	0.007973180427552315	0.002947608984502033	0.0
IL13RA2	0.003678619668150241	0.0007298372889374459	0.0	0.0	0.0013459400458545661	0.0
IL6	0.0	0.0028693828207923466	0.08452872454044519	0.01116718995283769	0.0025616942947792234	0.016296227265450425
INHBA	0.0008580324515616896	0.005259136717172831	0.0	0.0	0.002123623128506849	0.012911878236147464
KLHL5	0.005174584094057657	0.03772968053267795	0.16864465627121744	0.1219500563421728	0.007466714487240051	0.07317453321885141
LILRA2	0.0	0.0	0.0	0.0023556064342489403	0.0004764891301204196	0.004715925321054256
LILRB1	0.00096965738667245	0.016003397006749284	0.03890129251912274	0.013458630421089702	0.0028893487564780225	0.029099256652676087
LILRB2	0.0	0.0012300002035527601	0.0	0.0	0.0012372091997379948	0.028199603711451436
LILRB3	0.0013917688835947224	0.011460177402916886	0.0	0.012646833086485136	0.00793124915127332	0.011935005597439433
LRRC8C	0.0014519129004438472	0.01717797783841242	0.05204383075757072	0.0561814492171579	0.006261205729487385	0.027632536110664258
LRRK2	0.002468555017363626	0.004715079758383904	0.03500430823411116	0.012540597164607295	0.0014915413878201402	0.010463166484230362
NR4A3	0.027598868325836624	0.12268654370682013	0.30090784443822677	0.31984108037265396	0.06886290222060729	0.10570629603508619
NRG1	0.0	0.0	0.0	0.0023556064342489403	0.0	0.009200050331404684
NRP2	0.001250992340817625	0.010367927439536304	0.00825743482961642	0.007013934735002855	0.007727921237875766	0.031788448756114134
P2RX7	0.0027794315329559946	0.007387991327304231	0.017709130604047964	0.02562573971921157	0.0019815684865851176	0.0031485694018834115
P2RY13	0.0007026044980022217	0.0	0.0	0.0023556064342489403	0.000986869545313119	0.00521942288462053
PAPPA	0.0007565326163178518	0.0007558968277187869	0.0	0.0	0.0008280689635734678	0.0
PRR16	0.0	0.0	0.015313369353433774	0.0	0.0	0.0
PTGS1	0.005443064212811062	0.012991982513306414	0.03559882305498703	0.0	0.011599235407296632	0.018255178278198093
PTGS2	0.0019406686935783744	0.013203647004799134	0.019996650923448465	0.008580554557172613	0.014245198851420863	0.04778230539282972
PTPRC	0.06168117601650792	0.33749205725427583	1.1656164449179758	1.426030368095522	0.086585753611814	0.27455033370488335
RAB31	0.035982185143306526	0.013324759770708891	0.017754905214925253	0.005211463659802774	0.010222991939239178	0.21490761994461396
RBMS1	0.009754657063046542	0.042734936147072994	0.09325048966235974	0.19746770494068905	0.01664432202963274	0.05375160870865488
RGS18	0.0014304188255447549	0.00427229718765827	0.0	0.04073656765602231	0.0027780176669494902	0.009298506458896605
RGS4	0.000954743658204106	0.0	0.0	0.0	0.009013608814785202	0.0042248548815236675
RHOQ	0.004922155513409818	0.0956020016729989	0.06349735517115794	0.11961957149634114	0.02549859754340273	0.05988009019804088
RNF144B	0.007183487790708732	0.015603125299192888	0.0	0.029231459202376537	0.011250974245382196	0.012147839565270423
SELE	0.0	0.0	0.0	0.0037439881565229237	0.0001572639972071594	0.0
SERPINE1	0.0032179868966364504	0.0011335330216607706	0.0	0.0024046412456077124	0.006817108704524472	0.004026784610072078
SOCS3	0.10764424605590903	0.21935990693114107	0.37745755228887007	0.2583074837980721	0.20903119703321532	0.38265956586336086
SOD2	0.47163578342263623	0.4786764772080197	0.4856206927794212	0.4519402819998863	0.6435056797605732	0.9629289976468409
SRGN	0.08539316010125547	0.47273681474201845	1.392343268637636	1.7662602001236085	0.13767150195234687	0.4205398130125624
STC1	0.0006429471402198431	0.0016572432247712392	0.0	0.0	0.006968163187819778	0.017459773494614486
TAGAP	0.020844056937707217	0.09025701383277451	0.3735370524697075	0.3452614198469482	0.021464291754112342	0.05755201268344672
TFPI	0.003695964119584363	0.005320115230155782	0.02613718583053746	0.007384596215695713	0.009881005813937088	0.029502046334003298
TFPI2	0.0	0.0	0.0	0.0	0.0	0.003640601189217776
TLR1	0.0024436009230919347	0.0012464234765077295	0.04032279513155705	0.01596462425264308	0.0034773495450547854	0.015635775187824746
TLR8	0.0	0.0	0.0	0.0	0.0	0.006535877551389049
TNFRSF11B	0.006771800830575828	0.07936793064801606	0.0	0.004479503027276465	0.030962630898978886	0.0038982364285435065
ZEB1	0.005525377268080273	0.02647639719828661	0.12876872105175127	0.1085184198990361	0.009913195573873355	0.025210073916255463
